Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Vanløse,Mænd,20-29 ,517,150.000-199.999 kr.,4
Vanløse,Mænd,20-29 ,693,200.000-299.999 kr.,5
Vanløse,Mænd,20-29 ,558,300.000-399.999 kr.,6
Vanløse,Mænd,20-29 ,214,400.000-499.999 kr.,7
Vanløse,Mænd,20-29 ,54,500.000-599.999 kr.,8
Vanløse,Mænd,20-29 ,23,600.000-699.999 kr.,9
Vanløse,Mænd,20-29 ,11,700.000 kr. og derover,10
Vanløse,Mænd,30-64 ,359,-49.999 kr.,1
Vanløse,Mænd,30-64 ,232,50.000-99.999 kr.,2
Vanløse,Mænd,30-64 ,543,100.000-149.999 kr.,3
Vanløse,Mænd,30-64 ,657,150.000-199.999 kr.,4
Vanløse,Mænd,30-64 ,1184,200.000-299.999 kr.,5
Vanløse,Mænd,30-64 ,1990,300.000-399.999 kr.,6
Vanløse,Mænd,30-64 ,1584,400.000-499.999 kr.,7
Vanløse,Mænd,30-64 ,1032,500.000-599.999 kr.,8
Vanløse,Mænd,30-64 ,601,600.000-699.999 kr.,9
Vanløse,Mænd,30-64 ,940,700.000 kr. og derover,10
Vanløse,Mænd,65 og derover,14,-49.999 kr.,1
Vanløse,Mænd,65 og derover,40,50.000-99.999 kr.,2
Vanløse,Mænd,65 og derover,377,100.000-149.999 kr.,3
Vanløse,Mænd,65 og derover,558,150.000-199.999 kr.,4
Vanløse,Mænd,65 og derover,499,200.000-299.999 kr.,5
Vanløse,Mænd,65 og derover,285,300.000-399.999 kr.,6
Vanløse,Mænd,65 og derover,122,400.000-499.999 kr.,7
Vanløse,Mænd,65 og derover,86,500.000-599.999 kr.,8
Vanløse,Mænd,65 og derover,31,600.000-699.999 kr.,9
Vanløse,Mænd,65 og derover,57,700.000 kr. og derover,10
Vanløse,Kvinder,15-19 ,711,-49.999 kr.,1
Vanløse,Kvinder,15-19 ,106,50.000-99.999 kr.,2
Vanløse,Kvinder,15-19 ,40,100.000-149.999 kr.,3
Vanløse,Kvinder,15-19 ,8,150.000-199.999 kr.,4
Vanløse,Kvinder,15-19 ,1,200.000-299.999 kr.,5
Vanløse,Kvinder,20-29 ,306,-49.999 kr.,1
Vanløse,Kvinder,20-29 ,562,50.000-99.999 kr.,2
Vanløse,Kvinder,20-29 ,796,100.000-149.999 kr.,3
Vanløse,Kvinder,20-29 ,790,150.000-199.999 kr.,4
Vanløse,Kvinder,20-29 ,735,200.000-299.999 kr.,5
Vanløse,Kvinder,20-29 ,526,300.000-399.999 kr.,6
Vanløse,Kvinder,20-29 ,93,400.000-499.999 kr.,7
Vanløse,Kvinder,20-29 ,19,500.000-599.999 kr.,8
Vanløse,Kvinder,20-29 ,5,600.000-699.999 kr.,9
Vanløse,Kvinder,30-64 ,320,-49.999 kr.,1
Vanløse,Kvinder,30-64 ,215,50.000-99.999 kr.,2
Vanløse,Kvinder,30-64 ,531,100.000-149.999 kr.,3
Vanløse,Kvinder,30-64 ,774,150.000-199.999 kr.,4
Vanløse,Kvinder,30-64 ,1588,200.000-299.999 kr.,5
Vanløse,Kvinder,30-64 ,2589,300.000-399.999 kr.,6
Vanløse,Kvinder,30-64 ,1729,400.000-499.999 kr.,7
Vanløse,Kvinder,30-64 ,818,500.000-599.999 kr.,8
Vanløse,Kvinder,30-64 ,299,600.000-699.999 kr.,9
Vanløse,Kvinder,30-64 ,288,700.000 kr. og derover,10
Vanløse,Kvinder,65 og derover,23,-49.999 kr.,1
Vanløse,Kvinder,65 og derover,76,50.000-99.999 kr.,2
Vanløse,Kvinder,65 og derover,476,100.000-149.999 kr.,3
Vanløse,Kvinder,65 og derover,1098,150.000-199.999 kr.,4
Vanløse,Kvinder,65 og derover,775,200.000-299.999 kr.,5
Vanløse,Kvinder,65 og derover,316,300.000-399.999 kr.,6
Vanløse,Kvinder,65 og derover,106,400.000-499.999 kr.,7
Vanløse,Kvinder,65 og derover,40,500.000-599.999 kr.,8
Vanløse,Kvinder,65 og derover,15,600.000-699.999 kr.,9
Vanløse,Kvinder,65 og derover,17,700.000 kr. og derover,10
Brønshøj-Husum,Mænd,15-19 ,1021,-49.999 kr.,1
Brønshøj-Husum,Mænd,15-19 ,134,50.000-99.999 kr.,2
Brønshøj-Husum,Mænd,15-19 ,44,100.000-149.999 kr.,3
Brønshøj-Husum,Mænd,15-19 ,18,150.000-199.999 kr.,4
Brønshøj-Husum,Mænd,15-19 ,4,200.000-299.999 kr.,5
Brønshøj-Husum,Mænd,20-29 ,456,-49.999 kr.,1
Brønshøj-Husum,Mænd,20-29 ,683,50.000-99.999 kr.,2
Brønshøj-Husum,Mænd,20-29 ,531,100.000-149.999 kr.,3
Brønshøj-Husum,Mænd,20-29 ,437,150.000-199.999 kr.,4
Brønshøj-Husum,Mænd,20-29 ,529,200.000-299.999 kr.,5
Brønshøj-Husum,Mænd,20-29 ,384,300.000-399.999 kr.,6
Brønshøj-Husum,Mænd,20-29 ,105,400.000-499.999 kr.,7
Brønshøj-Husum,Mænd,20-29 ,34,500.000-599.999 kr.,8
Brønshøj-Husum,Mænd,20-29 ,7,600.000-699.999 kr.,9
Brønshøj-Husum,Mænd,20-29 ,6,700.000 kr. og derover,10
Brønshøj-Husum,Mænd,30-64 ,392,-49.999 kr.,1
Brønshøj-Husum,Mænd,30-64 ,295,50.000-99.999 kr.,2
Brønshøj-Husum,Mænd,30-64 ,920,100.000-149.999 kr.,3
Brønshøj-Husum,Mænd,30-64 ,1145,150.000-199.999 kr.,4
Brønshøj-Husum,Mænd,30-64 ,1663,200.000-299.999 kr.,5
Brønshøj-Husum,Mænd,30-64 ,1921,300.000-399.999 kr.,6
Brønshøj-Husum,Mænd,30-64 ,1405,400.000-499.999 kr.,7
Brønshøj-Husum,Mænd,30-64 ,903,500.000-599.999 kr.,8
Brønshøj-Husum,Mænd,30-64 ,556,600.000-699.999 kr.,9
Brønshøj-Husum,Mænd,30-64 ,808,700.000 kr. og derover,10
Brønshøj-Husum,Mænd,65 og derover,23,-49.999 kr.,1
Brønshøj-Husum,Mænd,65 og derover,81,50.000-99.999 kr.,2
Brønshøj-Husum,Mænd,65 og derover,562,100.000-149.999 kr.,3
Brønshøj-Husum,Mænd,65 og derover,755,150.000-199.999 kr.,4
Brønshøj-Husum,Mænd,65 og derover,507,200.000-299.999 kr.,5
Brønshøj-Husum,Mænd,65 og derover,277,300.000-399.999 kr.,6
Brønshøj-Husum,Mænd,65 og derover,114,400.000-499.999 kr.,7
Brønshøj-Husum,Mænd,65 og derover,67,500.000-599.999 kr.,8
Brønshøj-Husum,Mænd,65 og derover,39,600.000-699.999 kr.,9
Brønshøj-Husum,Mænd,65 og derover,34,700.000 kr. og derover,10
Brønshøj-Husum,Kvinder,15-19 ,1004,-49.999 kr.,1
Brønshøj-Husum,Kvinder,15-19 ,160,50.000-99.999 kr.,2
Brønshøj-Husum,Kvinder,15-19 ,53,100.000-149.999 kr.,3
Brønshøj-Husum,Kvinder,15-19 ,12,150.000-199.999 kr.,4
Brønshøj-Husum,Kvinder,15-19 ,2,200.000-299.999 kr.,5
Brønshøj-Husum,Kvinder,15-19 ,1,400.000-499.999 kr.,7
Brønshøj-Husum,Kvinder,20-29 ,439,-49.999 kr.,1
Brønshøj-Husum,Kvinder,20-29 ,604,50.000-99.999 kr.,2
Brønshøj-Husum,Kvinder,20-29 ,709,100.000-149.999 kr.,3
Brønshøj-Husum,Kvinder,20-29 ,584,150.000-199.999 kr.,4
Brønshøj-Husum,Kvinder,20-29 ,551,200.000-299.999 kr.,5
Brønshøj-Husum,Kvinder,20-29 ,257,300.000-399.999 kr.,6
Brønshøj-Husum,Kvinder,20-29 ,50,400.000-499.999 kr.,7
Brønshøj-Husum,Kvinder,20-29 ,11,500.000-599.999 kr.,8
Brønshøj-Husum,Kvinder,20-29 ,3,600.000-699.999 kr.,9
Brønshøj-Husum,Kvinder,20-29 ,1,700.000 kr. og derover,10
Brønshøj-Husum,Kvinder,30-64 ,492,-49.999 kr.,1
Brønshøj-Husum,Kvinder,30-64 ,292,50.000-99.999 kr.,2
Brønshøj-Husum,Kvinder,30-64 ,829,100.000-149.999 kr.,3
Brønshøj-Husum,Kvinder,30-64 ,1342,150.000-199.999 kr.,4
Brønshøj-Husum,Kvinder,30-64 ,1821,200.000-299.999 kr.,5
Brønshøj-Husum,Kvinder,30-64 ,2164,300.000-399.999 kr.,6
Brønshøj-Husum,Kvinder,30-64 ,1450,400.000-499.999 kr.,7
Brønshøj-Husum,Kvinder,30-64 ,610,500.000-599.999 kr.,8
Brønshøj-Husum,Kvinder,30-64 ,258,600.000-699.999 kr.,9
Brønshøj-Husum,Kvinder,30-64 ,245,700.000 kr. og derover,10
Brønshøj-Husum,Kvinder,65 og derover,37,-49.999 kr.,1
Brønshøj-Husum,Kvinder,65 og derover,127,50.000-99.999 kr.,2
Brønshøj-Husum,Kvinder,65 og derover,662,100.000-149.999 kr.,3
Brønshøj-Husum,Kvinder,65 og derover,1434,150.000-199.999 kr.,4
Brønshøj-Husum,Kvinder,65 og derover,733,200.000-299.999 kr.,5
Brønshøj-Husum,Kvinder,65 og derover,235,300.000-399.999 kr.,6
Brønshøj-Husum,Kvinder,65 og derover,71,400.000-499.999 kr.,7
Brønshøj-Husum,Kvinder,65 og derover,35,500.000-599.999 kr.,8
Brønshøj-Husum,Kvinder,65 og derover,12,600.000-699.999 kr.,9
Brønshøj-Husum,Kvinder,65 og derover,16,700.000 kr. og derover,10
Bispebjerg,Mænd,15-19 ,708,-49.999 kr.,1
Bispebjerg,Mænd,15-19 ,110,50.000-99.999 kr.,2
Bispebjerg,Mænd,15-19 ,46,100.000-149.999 kr.,3
Bispebjerg,Mænd,15-19 ,26,150.000-199.999 kr.,4
Bispebjerg,Mænd,15-19 ,10,200.000-299.999 kr.,5
Bispebjerg,Mænd,20-29 ,609,-49.999 kr.,1
Bispebjerg,Mænd,20-29 ,1503,50.000-99.999 kr.,2
Bispebjerg,Mænd,20-29 ,1339,100.000-149.999 kr.,3
Bispebjerg,Mænd,20-29 ,1131,150.000-199.999 kr.,4
Bispebjerg,Mænd,20-29 ,1265,200.000-299.999 kr.,5
Bispebjerg,Mænd,20-29 ,839,300.000-399.999 kr.,6
Bispebjerg,Mænd,20-29 ,259,400.000-499.999 kr.,7
Bispebjerg,Mænd,20-29 ,66,500.000-599.999 kr.,8
Bispebjerg,Mænd,20-29 ,8,600.000-699.999 kr.,9
Bispebjerg,Mænd,20-29 ,11,700.000 kr. og derover,10
Bispebjerg,Mænd,30-64 ,612,-49.999 kr.,1
Bispebjerg,Mænd,30-64 ,428,50.000-99.999 kr.,2
Bispebjerg,Mænd,30-64 ,1632,100.000-149.999 kr.,3
Bispebjerg,Mænd,30-64 ,1629,150.000-199.999 kr.,4
Bispebjerg,Mænd,30-64 ,2318,200.000-299.999 kr.,5
Bispebjerg,Mænd,30-64 ,2633,300.000-399.999 kr.,6
Bispebjerg,Mænd,30-64 ,1541,400.000-499.999 kr.,7
Bispebjerg,Mænd,30-64 ,710,500.000-599.999 kr.,8
Bispebjerg,Mænd,30-64 ,366,600.000-699.999 kr.,9
Bispebjerg,Mænd,30-64 ,465,700.000 kr. og derover,10
Bispebjerg,Mænd,65 og derover,24,-49.999 kr.,1
Bispebjerg,Mænd,65 og derover,91,50.000-99.999 kr.,2
Bispebjerg,Mænd,65 og derover,477,100.000-149.999 kr.,3
Bispebjerg,Mænd,65 og derover,907,150.000-199.999 kr.,4
Bispebjerg,Mænd,65 og derover,421,200.000-299.999 kr.,5
Bispebjerg,Mænd,65 og derover,180,300.000-399.999 kr.,6
Bispebjerg,Mænd,65 og derover,89,400.000-499.999 kr.,7
Bispebjerg,Mænd,65 og derover,35,500.000-599.999 kr.,8
Bispebjerg,Mænd,65 og derover,20,600.000-699.999 kr.,9
Bispebjerg,Mænd,65 og derover,38,700.000 kr. og derover,10
Bispebjerg,Kvinder,15-19 ,669,-49.999 kr.,1
Bispebjerg,Kvinder,15-19 ,176,50.000-99.999 kr.,2
Bispebjerg,Kvinder,15-19 ,56,100.000-149.999 kr.,3
Bispebjerg,Kvinder,15-19 ,23,150.000-199.999 kr.,4
Bispebjerg,Kvinder,15-19 ,6,200.000-299.999 kr.,5
Bispebjerg,Kvinder,20-29 ,595,-49.999 kr.,1
Bispebjerg,Kvinder,20-29 ,1454,50.000-99.999 kr.,2
Bispebjerg,Kvinder,20-29 ,2018,100.000-149.999 kr.,3
Bispebjerg,Kvinder,20-29 ,1619,150.000-199.999 kr.,4
Bispebjerg,Kvinder,20-29 ,1370,200.000-299.999 kr.,5
Bispebjerg,Kvinder,20-29 ,805,300.000-399.999 kr.,6
Bispebjerg,Kvinder,20-29 ,155,400.000-499.999 kr.,7
Bispebjerg,Kvinder,20-29 ,31,500.000-599.999 kr.,8
Bispebjerg,Kvinder,20-29 ,5,600.000-699.999 kr.,9
Bispebjerg,Kvinder,20-29 ,3,700.000 kr. og derover,10
Bispebjerg,Kvinder,30-64 ,566,-49.999 kr.,1
Bispebjerg,Kvinder,30-64 ,389,50.000-99.999 kr.,2
Bispebjerg,Kvinder,30-64 ,1161,100.000-149.999 kr.,3
Bispebjerg,Kvinder,30-64 ,1575,150.000-199.999 kr.,4
Bispebjerg,Kvinder,30-64 ,2266,200.000-299.999 kr.,5
Bispebjerg,Kvinder,30-64 ,2388,300.000-399.999 kr.,6
Bispebjerg,Kvinder,30-64 ,1229,400.000-499.999 kr.,7
Bispebjerg,Kvinder,30-64 ,418,500.000-599.999 kr.,8
Bispebjerg,Kvinder,30-64 ,178,600.000-699.999 kr.,9
Bispebjerg,Kvinder,30-64 ,165,700.000 kr. og derover,10
Bispebjerg,Kvinder,65 og derover,49,-49.999 kr.,1
Bispebjerg,Kvinder,65 og derover,102,50.000-99.999 kr.,2
Bispebjerg,Kvinder,65 og derover,499,100.000-149.999 kr.,3
Bispebjerg,Kvinder,65 og derover,1424,150.000-199.999 kr.,4
Bispebjerg,Kvinder,65 og derover,620,200.000-299.999 kr.,5
Bispebjerg,Kvinder,65 og derover,178,300.000-399.999 kr.,6
Bispebjerg,Kvinder,65 og derover,75,400.000-499.999 kr.,7
Bispebjerg,Kvinder,65 og derover,23,500.000-599.999 kr.,8
Bispebjerg,Kvinder,65 og derover,10,600.000-699.999 kr.,9
Bispebjerg,Kvinder,65 og derover,11,700.000 kr. og derover,10
Amager Øst,Mænd,15-19 ,822,-49.999 kr.,1
Amager Øst,Mænd,15-19 ,113,50.000-99.999 kr.,2
Amager Øst,Mænd,15-19 ,52,100.000-149.999 kr.,3
Amager Øst,Mænd,15-19 ,18,150.000-199.999 kr.,4
Amager Øst,Mænd,15-19 ,8,200.000-299.999 kr.,5
Amager Øst,Mænd,20-29 ,578,-49.999 kr.,1
Amager Øst,Mænd,20-29 ,1169,50.000-99.999 kr.,2
Amager Øst,Mænd,20-29 ,1085,100.000-149.999 kr.,3
Amager Øst,Mænd,20-29 ,1001,150.000-199.999 kr.,4
Amager Øst,Mænd,20-29 ,1125,200.000-299.999 kr.,5
Amager Øst,Mænd,20-29 ,897,300.000-399.999 kr.,6
Amager Øst,Mænd,20-29 ,348,400.000-499.999 kr.,7
Amager Øst,Mænd,20-29 ,92,500.000-599.999 kr.,8
Amager Øst,Mænd,20-29 ,38,600.000-699.999 kr.,9
Amager Øst,Mænd,20-29 ,16,700.000 kr. og derover,10
Amager Øst,Mænd,30-64 ,642,-49.999 kr.,1
Amager Øst,Mænd,30-64 ,370,50.000-99.999 kr.,2
Amager Øst,Mænd,30-64 ,1043,100.000-149.999 kr.,3
Amager Øst,Mænd,30-64 ,1035,150.000-199.999 kr.,4
Amager Øst,Mænd,30-64 ,1934,200.000-299.999 kr.,5
Amager Øst,Mænd,30-64 ,2895,300.000-399.999 kr.,6
Amager Øst,Mænd,30-64 ,2219,400.000-499.999 kr.,7
Amager Øst,Mænd,30-64 ,1193,500.000-599.999 kr.,8
Amager Øst,Mænd,30-64 ,624,600.000-699.999 kr.,9
Amager Øst,Mænd,30-64 ,952,700.000 kr. og derover,10
Amager Øst,Mænd,65 og derover,21,-49.999 kr.,1
Amager Øst,Mænd,65 og derover,51,50.000-99.999 kr.,2
Amager Øst,Mænd,65 og derover,461,100.000-149.999 kr.,3
Amager Øst,Mænd,65 og derover,750,150.000-199.999 kr.,4
Amager Øst,Mænd,65 og derover,490,200.000-299.999 kr.,5
Amager Øst,Mænd,65 og derover,267,300.000-399.999 kr.,6
Amager Øst,Mænd,65 og derover,123,400.000-499.999 kr.,7
Amager Øst,Mænd,65 og derover,44,500.000-599.999 kr.,8
Amager Øst,Mænd,65 og derover,19,600.000-699.999 kr.,9
Amager Øst,Mænd,65 og derover,40,700.000 kr. og derover,10
Amager Øst,Kvinder,15-19 ,775,-49.999 kr.,1
Amager Øst,Kvinder,15-19 ,133,50.000-99.999 kr.,2
Amager Øst,Kvinder,15-19 ,43,100.000-149.999 kr.,3
Amager Øst,Kvinder,15-19 ,19,150.000-199.999 kr.,4
Amager Øst,Kvinder,15-19 ,3,200.000-299.999 kr.,5
Amager Øst,Kvinder,20-29 ,488,-49.999 kr.,1
Amager Øst,Kvinder,20-29 ,1333,50.000-99.999 kr.,2
Amager Øst,Kvinder,20-29 ,1662,100.000-149.999 kr.,3
Amager Øst,Kvinder,20-29 ,1470,150.000-199.999 kr.,4
Amager Øst,Kvinder,20-29 ,1396,200.000-299.999 kr.,5
Amager Øst,Kvinder,20-29 ,783,300.000-399.999 kr.,6
Amager Øst,Kvinder,20-29 ,162,400.000-499.999 kr.,7
Amager Øst,Kvinder,20-29 ,50,500.000-599.999 kr.,8
Amager Øst,Kvinder,20-29 ,8,600.000-699.999 kr.,9
Amager Øst,Kvinder,20-29 ,5,700.000 kr. og derover,10
Amager Øst,Kvinder,30-64 ,550,-49.999 kr.,1
Amager Øst,Kvinder,30-64 ,320,50.000-99.999 kr.,2
Amager Øst,Kvinder,30-64 ,897,100.000-149.999 kr.,3
Amager Øst,Kvinder,30-64 ,1190,150.000-199.999 kr.,4
Amager Øst,Kvinder,30-64 ,2453,200.000-299.999 kr.,5
Amager Øst,Kvinder,30-64 ,3205,300.000-399.999 kr.,6
Amager Øst,Kvinder,30-64 ,1888,400.000-499.999 kr.,7
Amager Øst,Kvinder,30-64 ,765,500.000-599.999 kr.,8
Amager Øst,Kvinder,30-64 ,305,600.000-699.999 kr.,9
Amager Øst,Kvinder,30-64 ,280,700.000 kr. og derover,10
Amager Øst,Kvinder,65 og derover,27,-49.999 kr.,1
Amager Øst,Kvinder,65 og derover,77,50.000-99.999 kr.,2
Amager Øst,Kvinder,65 og derover,557,100.000-149.999 kr.,3
Amager Øst,Kvinder,65 og derover,1397,150.000-199.999 kr.,4
Amager Øst,Kvinder,65 og derover,754,200.000-299.999 kr.,5
Amager Øst,Kvinder,65 og derover,220,300.000-399.999 kr.,6
Amager Øst,Kvinder,65 og derover,75,400.000-499.999 kr.,7
Amager Øst,Kvinder,65 og derover,23,500.000-599.999 kr.,8
Amager Øst,Kvinder,65 og derover,9,600.000-699.999 kr.,9
Amager Øst,Kvinder,65 og derover,6,700.000 kr. og derover,10
Amager Vest,Mænd,15-19 ,983,-49.999 kr.,1
Amager Vest,Mænd,15-19 ,162,50.000-99.999 kr.,2
Amager Vest,Mænd,15-19 ,57,100.000-149.999 kr.,3
Amager Vest,Mænd,15-19 ,28,150.000-199.999 kr.,4
Amager Vest,Mænd,15-19 ,6,200.000-299.999 kr.,5
Amager Vest,Mænd,15-19 ,1,600.000-699.999 kr.,9
Amager Vest,Mænd,20-29 ,660,-49.999 kr.,1
Amager Vest,Mænd,20-29 ,1289,50.000-99.999 kr.,2
Amager Vest,Mænd,20-29 ,1132,100.000-149.999 kr.,3
Amager Vest,Mænd,20-29 ,969,150.000-199.999 kr.,4
Amager Vest,Mænd,20-29 ,976,200.000-299.999 kr.,5
Amager Vest,Mænd,20-29 ,726,300.000-399.999 kr.,6
Amager Vest,Mænd,20-29 ,368,400.000-499.999 kr.,7
Amager Vest,Mænd,20-29 ,136,500.000-599.999 kr.,8
Amager Vest,Mænd,20-29 ,47,600.000-699.999 kr.,9
Amager Vest,Mænd,20-29 ,54,700.000 kr. og derover,10
Amager Vest,Mænd,30-64 ,736,-49.999 kr.,1
Amager Vest,Mænd,30-64 ,390,50.000-99.999 kr.,2
Amager Vest,Mænd,30-64 ,1180,100.000-149.999 kr.,3
Amager Vest,Mænd,30-64 ,1260,150.000-199.999 kr.,4
Amager Vest,Mænd,30-64 ,2001,200.000-299.999 kr.,5
Amager Vest,Mænd,30-64 ,3016,300.000-399.999 kr.,6
Amager Vest,Mænd,30-64 ,2680,400.000-499.999 kr.,7
Amager Vest,Mænd,30-64 ,1721,500.000-599.999 kr.,8
Amager Vest,Mænd,30-64 ,955,600.000-699.999 kr.,9
Amager Vest,Mænd,30-64 ,1565,700.000 kr. og derover,10
Amager Vest,Mænd,65 og derover,28,-49.999 kr.,1
Amager Vest,Mænd,65 og derover,84,50.000-99.999 kr.,2
Amager Vest,Mænd,65 og derover,549,100.000-149.999 kr.,3
Amager Vest,Mænd,65 og derover,835,150.000-199.999 kr.,4
Amager Vest,Mænd,65 og derover,586,200.000-299.999 kr.,5
Amager Vest,Mænd,65 og derover,333,300.000-399.999 kr.,6
Amager Vest,Mænd,65 og derover,161,400.000-499.999 kr.,7
Amager Vest,Mænd,65 og derover,66,500.000-599.999 kr.,8
Amager Vest,Mænd,65 og derover,40,600.000-699.999 kr.,9
Amager Vest,Mænd,65 og derover,49,700.000 kr. og derover,10
Amager Vest,Kvinder,15-19 ,961,-49.999 kr.,1
Amager Vest,Kvinder,15-19 ,179,50.000-99.999 kr.,2
Amager Vest,Kvinder,15-19 ,73,100.000-149.999 kr.,3
Amager Vest,Kvinder,15-19 ,25,150.000-199.999 kr.,4
Amager Vest,Kvinder,15-19 ,7,200.000-299.999 kr.,5
Amager Vest,Kvinder,20-29 ,628,-49.999 kr.,1
Amager Vest,Kvinder,20-29 ,1312,50.000-99.999 kr.,2
Amager Vest,Kvinder,20-29 ,1550,100.000-149.999 kr.,3
Amager Vest,Kvinder,20-29 ,1325,150.000-199.999 kr.,4
Amager Vest,Kvinder,20-29 ,1125,200.000-299.999 kr.,5
Amager Vest,Kvinder,20-29 ,748,300.000-399.999 kr.,6
Amager Vest,Kvinder,20-29 ,224,400.000-499.999 kr.,7
Amager Vest,Kvinder,20-29 ,69,500.000-599.999 kr.,8
Amager Vest,Kvinder,20-29 ,22,600.000-699.999 kr.,9
Amager Vest,Kvinder,20-29 ,11,700.000 kr. og derover,10
Amager Vest,Kvinder,30-64 ,750,-49.999 kr.,1
Amager Vest,Kvinder,30-64 ,420,50.000-99.999 kr.,2
Amager Vest,Kvinder,30-64 ,1038,100.000-149.999 kr.,3
Amager Vest,Kvinder,30-64 ,1466,150.000-199.999 kr.,4
Amager Vest,Kvinder,30-64 ,2820,200.000-299.999 kr.,5
Amager Vest,Kvinder,30-64 ,3767,300.000-399.999 kr.,6
Amager Vest,Kvinder,30-64 ,2414,400.000-499.999 kr.,7
Amager Vest,Kvinder,30-64 ,1085,500.000-599.999 kr.,8
Amager Vest,Kvinder,30-64 ,438,600.000-699.999 kr.,9
Amager Vest,Kvinder,30-64 ,444,700.000 kr. og derover,10
Amager Vest,Kvinder,65 og derover,48,-49.999 kr.,1
Amager Vest,Kvinder,65 og derover,121,50.000-99.999 kr.,2
Amager Vest,Kvinder,65 og derover,723,100.000-149.999 kr.,3
Amager Vest,Kvinder,65 og derover,1452,150.000-199.999 kr.,4
Amager Vest,Kvinder,65 og derover,820,200.000-299.999 kr.,5
Amager Vest,Kvinder,65 og derover,323,300.000-399.999 kr.,6
Amager Vest,Kvinder,65 og derover,110,400.000-499.999 kr.,7
Amager Vest,Kvinder,65 og derover,41,500.000-599.999 kr.,8
Amager Vest,Kvinder,65 og derover,19,600.000-699.999 kr.,9
Amager Vest,Kvinder,65 og derover,28,700.000 kr. og derover,10
